name,kind,method,url
useAddEventMission,mutation,POST,/api/v1/events/:id/missions
useAnnouncements,query,GET,/api/v1/announcements
useApprovals,query,GET,/api/v1/approvals
useApproveMission,mutation,POST,/api/v1/approvals/:id/approve
useAssignSlot,mutation,PUT,/api/v1/event-missions/:emid/slots/:slotId/assign
useAuditLogs,query,GET,/api/v1/admin/audit-logs
useBanUser,mutation,POST,/api/v1/admin/users/:discordId/ban
useCreateEvent,mutation,POST,/api/v1/events
useCreateMission,mutation,POST,/api/v1/missions
useCurrentModpack,query,GET,/api/v1/modpacks/current
useDashboard,query,GET,/api/v1/dashboard
useDeleteEvent,mutation,DELETE,/api/v1/events/:id
useDeleteFaction,mutation,DELETE,/api/v1/factions/:id
useDeleteMission,mutation,DELETE,/api/v1/missions/:id
useDeployments,query,GET,/api/v1/me/deployments
useEvent,query,GET,/api/v1/events/:id
useEvents,query,GET,/api/v1/events
useFactionLibrary,query,GET,/api/v1/factions
useGenerateLinkCode,mutation,POST,/api/v1/me/link
useLeaderboards,query,GET,/api/v1/leaderboards
useLinkStatus,query,GET,/api/v1/me/link/status
useLogout,mutation,POST,/api/v1/auth/logout
useMe,query,GET,/api/v1/me
useMemberSearch,query,GET,/api/v1/members
useMission,query,GET,/api/v1/missions/:id
useMissions,query,GET,/api/v1/missions
useModpacks,query,GET,/api/v1/modpacks
useOrbat,query,GET,/api/v1/event-missions/:emid/orbat
usePersonnel,query,GET,/api/v1/admin/users
usePublishAnnouncement,mutation,POST,/api/v1/cms/announcements
useRegisterMission,mutation,POST,/api/v1/event-missions/:emid/register
useRegistry,query,GET,/api/v1/registry
useRejectMission,mutation,POST,/api/v1/approvals/:id/reject
useReleaseSquad,mutation,POST,/api/v1/event-missions/:emid/squads/release
useReserveSquad,mutation,POST,/api/v1/event-missions/:emid/squads/reserve
useSaveFaction,mutation,POST,/api/v1/factions
useSaveFaction,mutation,PUT,/api/v1/factions/:id
useServer,query,GET,/api/v1/servers/:id/status
useServerRcon,mutation,POST,/api/v1/admin/servers/:serverId/rcon
useServers,query,GET,/api/v1/servers
useSetMissionStatus,mutation,PATCH,/api/v1/missions/:id
useSolveFireMission,mutation,POST,/api/v1/fire-missions/solve
useUnlinkArma,mutation,DELETE,/api/v1/me/link
useUpdateUserRole,mutation,PATCH,/api/v1/admin/users/:discordId
useVehicles,query,GET,/api/v1/vehicle-database
useWikiPage,query,GET,/api/v1/wiki/:slug
useWikiPages,query,GET,/api/v1/wiki
useWithdrawMission,mutation,DELETE,/api/v1/event-missions/:emid/register
